Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C802,100n,C_0603_1608Metric,44,54,0,top
C803,100n,C_0603_1608Metric,44,50,0,top
C804,100n,C_0603_1608Metric,44,46,0,top
C805,100n,C_0603_1608Metric,44,42,0,top
C806,100n,C_0603_1608Metric,44,38,0,top
C807,100n,C_0603_1608Metric,48,58,0,top
C808,100n,C_0603_1608Metric,48,54,0,top
C809,100n,C_0603_1608Metric,48,50,0,top
C810,100n,C_0603_1608Metric,48,46,0,top
C811,100n,C_0603_1608Metric,48,42,0,top
C812,100n,C_0603_1608Metric,48,38,0,top
C901,100n,C_0603_1608Metric,52,58,0,top
C902,100n,C_0603_1608Metric,52,54,0,top
C903,100n,C_0603_1608Metric,52,50,0,top
C904,100n,C_0603_1608Metric,52,46,0,top
C905,100n,C_0603_1608Metric,52,42,0,top
C906,100n,C_0603_1608Metric,52,38,0,top
C907,100n,C_0603_1608Metric,56,58,0,top
C908,100n,C_0603_1608Metric,56,54,0,top
C909,100n,C_0603_1608Metric,56,50,0,top
C910,100n,C_0603_1608Metric,56,46,0,top
C911,100n,C_0603_1608Metric,56,42,0,top
C912,100n,C_0603_1608Metric,56,38,0,top
C1001,100n,C_0603_1608Metric,60,58,0,top
C1002,100n,C_0603_1608Metric,60,54,0,top
C1003,100n,C_0603_1608Metric,60,50,0,top
C1004,100n,C_0603_1608Metric,60,46,0,top
C1005,100n,C_0603_1608Metric,60,42,0,top
C1006,100n,C_0603_1608Metric,60,38,0,top
C1007,100n,C_0603_1608Metric,64,58,0,top
C1008,100n,C_0603_1608Metric,64,54,0,top
C1009,100n,C_0603_1608Metric,64,50,0,top
C1010,100n,C_0603_1608Metric,64,46,0,top
C1011,100n,C_0603_1608Metric,64,42,0,top
C1012,100n,C_0603_1608Metric,64,38,0,top
C1101,100n,C_0603_1608Metric,68,58,0,top
C1102,100n,C_0603_1608Metric,68,54,0,top
C1103,100n,C_0603_1608Metric,68,50,0,top
C1104,100n,C_0603_1608Metric,68,46,0,top
C1105,100n,C_0603_1608Metric,68,42,0,top
C1106,100n,C_0603_1608Metric,68,38,0,top
C1107,100n,C_0603_1608Metric,72,58,0,top
C1108,100n,C_0603_1608Metric,72,54,0,top
C1109,100n,C_0603_1608Metric,72,50,0,top
C1110,100n,C_0603_1608Metric,72,46,0,top
C1111,100n,C_0603_1608Metric,72,42,0,top
C1112,100n,C_0603_1608Metric,72,38,0,top
C1201,100n,C_0603_1608Metric,76,58,0,top
C1202,100n,C_0603_1608Metric,76,54,0,top
C1203,100n,C_0603_1608Metric,76,50,0,top
C1204,100n,C_0603_1608Metric,76,46,0,top
C1205,100n,C_0603_1608Metric,76,42,0,top
C1206,100n,C_0603_1608Metric,76,38,0,top
