Ref,Val,Package,PosX,PosY,Rot,Side
"D225","WS2812C-2020","BF@WS2812C-2020",76.450336,13.594236,36.000000,top
"D226","WS2812C-2020","BF@WS2812C-2020",72.499999,11.028857,30.000000,top
"D227","WS2812C-2020","BF@WS2812C-2020",68.303148,8.890455,24.000000,top
"D228","WS2812C-2020","BF@WS2812C-2020",63.905764,7.202457,18.000000,top
"D229","WS2812C-2020","BF@WS2812C-2020",59.356026,5.983358,12.000000,top
"D230","WS2812C-2020","BF@WS2812C-2020",54.703780,5.246515,6.000000,top
"D231","WS2812C-2020","BF@WS2812C-2020",50.000000,5.000000,0.000000,top
"D232","WS2812C-2020","BF@WS2812C-2020",45.296220,5.246515,354.000000,top
"D233","WS2812C-2020","BF@WS2812C-2020",40.643974,5.983358,348.000000,top
"D234","WS2812C-2020","BF@WS2812C-2020",36.094236,7.202457,342.000000,top
"D235","WS2812C-2020","BF@WS2812C-2020",31.696852,8.890455,336.000000,top
"D236","WS2812C-2020","BF@WS2812C-2020",27.500000,11.028857,330.000000,top
"D237","WS2812C-2020","BF@WS2812C-2020",23.549664,13.594236,324.000000,top
"D238","WS2812C-2020","BF@WS2812C-2020",19.889123,16.558483,318.000000,top
"D239","WS2812C-2020","BF@WS2812C-2020",16.558483,19.889123,312.000000,top
"D240","WS2812C-2020","BF@WS2812C-2020",13.594236,23.549664,306.000000,top
"D241","WS2812C-2020","BF@WS2812C-2020",11.028857,27.500000,300.000000,top
"D242","WS2812C-2020","BF@WS2812C-2020",8.890455,31.696852,294.000000,top
"D243","WS2812C-2020","BF@WS2812C-2020",7.202457,36.094236,288.000000,top
"D244","WS2812C-2020","BF@WS2812C-2020",5.983358,40.643974,282.000000,top
"D245","WS2812C-2020","BF@WS2812C-2020",5.246515,45.296220,276.000000,top
"D246","WS2812C-2020","BF@WS2812C-2020",5.000000,50.000000,270.000000,top
"D247","WS2812C-2020","BF@WS2812C-2020",5.246515,54.703780,264.000000,top
"D248","WS2812C-2020","BF@WS2812C-2020",5.983358,59.356026,258.000000,top
"D249","WS2812C-2020","BF@WS2812C-2020",7.202457,63.905764,252.000000,top
"D250","WS2812C-2020","BF@WS2812C-2020",8.890455,68.303148,246.000000,top
"D251","WS2812C-2020","BF@WS2812C-2020",11.028857,72.500000,240.000000,top
"D252","WS2812C-2020","BF@WS2812C-2020",13.594236,76.450336,234.000000,top
"D253","WS2812C-2020","BF@WS2812C-2020",16.558483,80.110877,228.000000,top
"D254","WS2812C-2020","BF@WS2812C-2020",19.889123,83.441517,222.000000,top
"D255","WS2812C-2020","BF@WS2812C-2020",23.549664,86.405764,216.000000,top
"D256","WS2812C-2020","BF@WS2812C-2020",27.500000,88.971143,210.000000,top
"D257","WS2812C-2020","BF@WS2812C-2020",31.696852,91.109545,204.000000,top
"D258","WS2812C-2020","BF@WS2812C-2020",36.094236,92.797543,198.000000,top
"D259","WS2812C-2020","BF@WS2812C-2020",40.643974,94.016642,192.000000,top
"D260","WS2812C-2020","BF@WS2812C-2020",45.296220,94.753485,186.000000,top
"D301","WS2812C-2020","BF@WS2812C-2020",50.000000,91.000000,180.000000,top
"D302","WS2812C-2020","BF@WS2812C-2020",54.285666,90.775397,174.000000,top
"D303","WS2812C-2020","BF@WS2812C-2020",58.524379,90.104051,168.000000,top
"D304","WS2812C-2020","BF@WS2812C-2020",62.669696,88.993317,162.000000,top
"D305","WS2812C-2020","BF@WS2812C-2020",66.676202,87.455363,156.000000,top
"D306","WS2812C-2020","BF@WS2812C-2020",70.499999,85.507041,150.000000,top
"D307","WS2812C-2020","BF@WS2812C-2020",74.099195,83.169696,144.000000,top
"D308","WS2812C-2020","BF@WS2812C-2020",77.434354,80.468937,138.000000,top
"D309","WS2812C-2020","BF@WS2812C-2020",80.468937,77.434354,132.000000,top
"D310","WS2812C-2020","BF@WS2812C-2020",83.169696,74.099195,126.000000,top
"D311","WS2812C-2020","BF@WS2812C-2020",85.507041,70.500000,120.000000,top
"D312","WS2812C-2020","BF@WS2812C-2020",87.455363,66.676202,114.000000,top
"D313","WS2812C-2020","BF@WS2812C-2020",88.993317,62.669696,108.000000,top
"D314","WS2812C-2020","BF@WS2812C-2020",90.104051,58.524379,102.000000,top
"D315","WS2812C-2020","BF@WS2812C-2020",90.775397,54.285666,96.000000,top
"D316","WS2812C-2020","BF@WS2812C-2020",91.000000,50.000000,90.000000,top
"D317","WS2812C-2020","BF@WS2812C-2020",90.775397,45.714334,84.000000,top
"D318","WS2812C-2020","BF@WS2812C-2020",90.104051,41.475621,78.000000,top
"D319","WS2812C-2020","BF@WS2812C-2020",88.993317,37.330304,72.000000,top
"D320","WS2812C-2020","BF@WS2812C-2020",87.455363,33.323798,66.000000,top
"D321","WS2812C-2020","BF@WS2812C-2020",85.507041,29.500001,60.000000,top
"D322","WS2812C-2020","BF@WS2812C-2020",83.169696,25.900805,54.000000,top
"D323","WS2812C-2020","BF@WS2812C-2020",80.468937,22.565646,48.000000,top
"D324","WS2812C-2020","BF@WS2812C-2020",77.434354,19.531063,42.000000,top
"D325","WS2812C-2020","BF@WS2812C-2020",74.099195,16.830304,36.000000,top
"D326","WS2812C-2020","BF@WS2812C-2020",70.499999,14.492959,30.000000,top
"D327","WS2812C-2020","BF@WS2812C-2020",66.676202,12.544637,24.000000,top
"D328","WS2812C-2020","BF@WS2812C-2020",62.669696,11.006683,18.000000,top
"D329","WS2812C-2020","BF@WS2812C-2020",58.524379,9.895949,12.000000,top
